CODE;L_TYPE_TOKEN_RATIO_LEMMAS;L_PROPER_NAME;L_PERSONAL_NAME;L_PUNCT;L_PUNCT_COM;L_PUNCT_SEMC;L_PUNCT_COL;L_PUNCT_DASH;L_CONT_A;L_FUNC_A;L_CONT_T;L_FUNC_T;L_PLURAL_NOUNS;L_SINGULAR_NOUNS;L_NOM_CASE;L_GEN_CASE;L_DAT_CASE;L_ACC_CASE;L_INS_CASE;L_LOC_CASE;L_VOC_CASE;L_QULITATIVE_ADJ_P;L_RELATIVE_ADJ;L_QUALITATIVE_ADJ_CMP;L_QUALITATIVE_ADJ_SUP;L_DIRECT_ADJ;L_INDIRECT_ADJ;L_ANIM_NOUN;L_INANIM_NOUN;L_NOUN_NEUTRAL;L_NOUN_FAMININE;L_NOUN_MASCULINE;L_FEMININE_NAMES;L_MASCULINE_NAMES;L_GIVEN_NAMES;L_SURNAMES;L_FLAT_MULTIWORD;L_DIMINUTIVES;L_DIRECT_OBJ;L_INDIRECT_OBJ;L_NUM_CARD;L_NUM_ORD;L_PRON_DEM;L_PRON_PRS;L_PRON_TOT;L_PRON_REL;L_PRON_INT;L_PRON_RELATIVE;L_PRON_RFL;L_PRON_POS;L_PRON_NEG;L_ADV_POS;L_ADV_CMP;L_ADV_SUP;POS_VERB;POS_NOUN;POS_ADJ;POS_ADV;POS_DET;POS_INTJ;POS_CONJ;POS_PART;POS_NUM;POS_PREP;POS_PRO;POS_OTHER;VF_ROOT_VERB_IMPERFECT;VF_ALL_VERB_IMPERFECT;VF_ROOT_VERB_PERFECT;VF_ALL_VERB_PERFECT;VF_PRESENT_IND_IMPERFECT;VF_PAST_IND_PERFECT;VF_PAST_IND_IMPERFECT;VF_FUT_IND_PERFECT;VF_FUT_IND_IMPERFECT_SIMPLE;VF_FUT_IND_COMPLEX;VF_FIRST_CONJ;VF_SECOND_CONJ;VF_THIRD_CONJ;VF_FOURTH_CONJ;VF_INFINITIVE;VF_PASSIVE;VF_TRANSITIVE;VF_INTRANSITIVE;VF_IMPERSONAL_VERBS;VF_PARTICIPLE_PASSIVE;VF_PARTICIPLE_ACTIVE;VF_ADV_PRF_PART;VF_ADV_IMPRF_PART;SY_DIRECT_SPEECH;SY_NEGATIVE;SY_PARATAXIS;SY_NON_FINITE;SY_QUOTATIONS;SY_EXCLAMATION;SY_QUESTION;SY_ELLIPSES;SY_POSITIONING;SY_CONDITIONAL;SY_IMPERATIVE;SY_AMPLIFIED_SENT
DESCRIPTION;Type-token ratio for words lemmas;Incidence of proper names;Incidence of personal names;Incidence of punctuation;Incidence of comma;Incidence of semicolon;Incidence of colon;Incidence of dashes;Incidence of Content words;Incidence of Function words;Incidence of Content words types;Incidence of Function words types;Incidence of nouns in plural;Incidence of nouns in singular;Incidence of nouns in Nominative case;Incidence of nouns in Genitive case;Incidence of nouns in Dative case;Incidence of nouns in Accusative case;Incidence of nouns in Instrumental case;Incidence of nouns in Locative case;Incidence of nouns in Vocative case;Incidence of qualitative adj positive;Incidence of relative adj;Incidence of relative adj;Incidence of qualitative superlative adj;Incidence of direct adjective;Incidence of indirect adjective;Incidence of animate nouns;Incidence of inanimate nouns;Incidence of neutral nouns;Incidence of feminine nouns;Incidence of masculine nouns;Incidence of feminine proper nouns;Incidence of masculine proper nouns;Incidence of given names;Incidence of surnames;Incidence of flat multiwords expressions;Incidence of diminutives;Incidence of direct objects;Incidence of indirect objects;Incidence of numerals cardinals;Incidence of numerals ordinals;Incidence of demonstrative pronouns;Incidence of personal pronouns;Incidence of total pronouns;Incidence of relative pronouns;Incidence of indexical pronouns;Incidence of relative pronoun 'що';Incidence of reflexive pronoun;Incidence of posessive pronoun;Incidence of negative pronoun;Incidence of positive adverbs;Incidence of comparative adverbs;Incidence of superlative adverbs;Incidence of Verbs;Incidence of Nouns;Incidence of Adjectives;Incidence of Adverbs;Incidence of Determiners;Incidence of Interjections;Incidence of Conjunctions;Incidence of Particles;Incidence of Numerals;Incidence of Prepositions;Incidence of Pronouns;Incidence of Code-Switching;Incidence of root verbs in imperfect aspect;Incidence of all verbs in imperfect aspect;Incidence of root verbs in perfect form;Incidence of all verbs in perfect form;Incidence of verbs in the present tense, indicative mood, imperfect aspect;Incidence of verbs in the past tense, indicative mood, perfect aspect;Incidence of verbs in the past tense, indicative mood, imperfect aspect;Incidence of verbs in the future tense, indicative mood, perfect aspect;Incidence of verbs in the future tense, indicative mood, imperfect aspect, simple verb forms;Incidence of verbs in the future tense, indicative mood, complex verb forms;Incidence of verbs in the first conjugation;Incidence of verbs in the second conjugation;Incidence of verbs in the third conjugation;Incidence of verbs in the fourth conjugation;Incidence of verbs in infinitive;Incidence of verbs in the passive form;Incidence of transitive verbs;Incidence of intransitive verbs;Incidence of impersonal verbs;Incidence of passive participles;Incidence of active participles;Incidence of adverbial perfect participles;Incidence of adverbial imperfect participles;Number of words in direct speech;Number of words in negative sentences;Number of words in parataxis sentences;Number of words in sentences without any verbs;Number of words in sentences with quotation marks;Number of words in exclamatory sentences;Number of words in interrogative sentences;Number of words in elliptic sentences;Number of positionings (прикладка);Number of words in conditional sentences;Number of words in imperative sentences;Number of words in amplified sentences
MEDIAN;0,4608270462633452;0,047619047619047616;0,022416582598930278;0,17777777777777778;0,07126347747892127;0,0;0,003006015042123367;0,0;0,6013830608346407;0,20713438416631547;0,4652334201128736;0,08008435932512539;0,075493286127542;0,17141626676510396;0,059624321954766094;0,09136429153349626;0,0030146447860407146;0,05333333333333334;0,0;0,022032274823040456;0,0;0,02;0,05577717736808646;0,0;0,0005444641256166999;0,06628347427766032;0,012400637183773894;0,04002861230329041;0,2107843137254902;0,034744482564391416;0,09363683596545402;0,11624313471947144;0,0031274911114697497;0,01729973918996136;0,009931398403189469;0,012518633360758657;0,04924020391488152;0,0;0,049213425012934624;0,06666666666666667;0,014897154748430733;0,005405422954055528;0,0223463687150838;0,025103672569110357;0,003330976896350587;0,014892398430455022;0,0014367816091954023;0,018292682926829267;0,003389830508474576;0,006596306068601583;0,0;0,006166501888610034;0,002590690962783986;0,0;0,11569801170824323;0,3074002017581784;0,08;0,04713877476304763;0,03483453811083953;0,0;0,050519097075194974;0,018913240972064503;0,010893246187363835;0,0989050949050949;0,030445817700286912;0,0;0,02662192078815811;0,06075823287686827;0,022073181244073654;0,045714285714285714;0,0375972560432381;0,028620663203804766;0,01200894954139781;0,002919714251615433;0,0;0,0;0,07762343851755374;0,15100340429576603;0,01402878423931693;0,0;0,01971830985915493;0,0;0,08125074063754079;0,010161126647550946;0,025855105565149576;0,006572975686429415;0,0;0,0;0,0;0,6456520419007135;0,18077045115702933;0,31702179914785744;0,009385267200450987;0,024291497975708502;0,0;0,0018206649197564932;0,0006393885417812204;0,0;0,0;0,0;0,0
MEAN;0,4721617651682214;0,054029343395248786;0,029770104398832962;0,17801598416260214;0,06960733579081241;0,00019562013079230274;0,0039757150430335154;0,00027041364427593664;0,6026142700667073;0,20552832194690895;0,46809418683063825;0,08650235449310978;0,0766378600730195;0,17206723302381216;0,06036709344834804;0,09258987096175612;0,003687339210226576;0,05403693495864668;0,0;0,02318707455802581;7,291914028308544e-05;0,02123109844645118;0,05768075869779953;0,0012110204616213249;0,001497207378016614;0,06811885795902622;0,013490706929949269;0,041973044941861305;0,21081866928189263;0,0363423064426899;0,09459662165084233;0,11776616500329944;0,006951191851630906;0,024107952302884796;0,013161611405387586;0,017808067402841646;0,05731713215660801;0,00015003201830968;0,04950109723405697;0,0682041012728334;0,020708514151575853;0,00716512647779966;0,022631236158637668;0,02844763229292993;0,003975944524218769;0,01568632069361705;0,002385407919553026;0,018323815357954423;0,004132847500140478;0,0075296909106542;0,0011317413411944632;0,006874005599104309;0,003328652888031387;0,0005729879700663589;0,11590452103959951;0,30682105761900275;0,08162008498388865;0,04840493864411134;0,03530262859850303;0,00021105981156118803;0,05009322129931669;0,01962947834901404;0,016167264370186316;0,100291933888514;0,03369640340991874;0,0;0,027675953316143483;0,061892998645227536;0,023448368900380295;0,04737968663310813;0,03906948928265899;0,030470388644831026;0,014804479959499257;0,00419982359419674;0,001461263248946283;0,002829579244042782;0,07849995565111906;0,15213428433885987;0,015384293515122568;0,0;0,02091837549592262;0,0008092353930736293;0,08136554265171815;0,01125407244727252;0,02686076420204441;0,007355868349768245;0,0010114894885921634;0,0004697863582452875;0,0007975025390500355;0,5400768016471146;0,1845354727981244;0,31562469429881634;0,011202008790362433;0,02731253208958335;0,0002655068705031205;0,002942317876809817;0,0016594232816501211;0,0008176244126656204;0,00106186782113885;0,0009481218579977079;5,950458747447122e-06
SD;0,09977503142208369;0,03366178049613353;0,025692848126977336;0,027367022049440727;0,0173606187588301;0,00171229297632463;0,004652547745682261;0,001979992497868756;0,03491802774045789;0,025841288482736702;0,06151703463604717;0,03175781927497352;0,02499208941500499;0,03179928777050933;0,01611723736287808;0,027793659116960627;0,0036400336347699553;0,015161912854318315;0,0;0,010060740931584352;0,0004524840682821379;0,010489333878967467;0,023595852623140654;0,0019583058667479226;0,0025762841805953797;0,023960133201889357;0,007919217558258225;0,018772317566503702;0,03874799914664789;0,014972265523900961;0,023046913506893935;0,026724699449563023;0,011581182487274657;0,022459786884421;0,011962888210358175;0,01600246744644017;0,03838787152074215;0,0008964659203157452;0,013149701590842174;0,016426360297024427;0,02810332468698125;0,00714262444117829;0,00972740445905516;0,01762059268082865;0,004001083002355847;0,00858094835051107;0,00449139650874334;0,008707359484872154;0,004371730201606502;0,0060954221053793455;0,0017984332071160412;0,005464705192132015;0,003632649331469038;0,0017467679588438621;0,020792694213390295;0,04479983873527963;0,025803412463119013;0,017326636213582058;0,012446758722820361;0,0007575835910203134;0,013679745229202326;0,010394217824456846;0,026834867934088555;0,02057032353030791;0,01816616744147139;0,0;0,01262471747719512;0,020445826287355983;0,011914878108816297;0,017339306977031912;0,01805558916072049;0,016683945004120335;0,01179432335450756;0,004809169490475454;0,002845067891163307;0,004940121643693608;0,021541190861805948;0,029573179033801654;0,009617140236424895;0,0;0,011481432967513569;0,001358081879552821;0,014610511730610166;0,007519426002291626;0,009948645435239253;0,005227821438347327;0,0021395401575296847;0,0010901909334409857;0,001479887589038989;0,25511530650435027;0,11484966344501843;0,1381228338394168;0,013322064984547216;0,018883670058953875;0,0009952779184412253;0,004990544432725351;0,003963574191931932;0,0014708090897352605;0,0021823093413791605;0,0029886141201259805;0,0001011153704100568
0;0,4396751740139211;0,07540603248259861;0,07308584686774942;0,15893271461716937;0,05916473317865429;0,0;0,001160092807424594;0,0;0,6531322505800464;0,15661252900232017;0,4802784222737819;0,0568445475638051;0,06496519721577726;0,2099767981438515;0,05916473317865429;0,08932714617169374;0,01160092807424594;0,06728538283062645;0,0;0,01740139211136891;0,0;0,02668213457076566;0,07888631090487239;0,001160092807424594;0,0;0,08700696055684455;0,019721577726218097;0,06728538283062645;0,21345707656612528;0,05104408352668213;0,06960556844547564;0,154292343387471;0,002320185614849188;0,06496519721577726;0,02320185614849188;0,04408352668213457;0,12993039443155452;0,0;0,06844547563805105;0,07076566125290024;0,02088167053364269;0,016241299303944315;0,009280742459396751;0,042923433874709975;0,00580046403712297;0,008120649651972157;0,0;0,01740139211136891;0,00580046403712297;0,015081206496519721;0,002320185614849188;0,004640371229698376;0,001160092807424594;0,0;0,1136890951276102;0,3561484918793503;0,10672853828306264;0,030162412993039442;0,02668213457076566;0,0;0,0382830626450116;0,00580046403712297;0,010440835266821345;0,08584686774941995;0,03596287703016241;0,0;0,022041763341067284;0,04176334106728538;0,03596287703016241;0,06844547563805105;0,02320185614849188;0,052204176334106726;0,012761020881670533;0,002320185614849188;0,0;0,004640371229698376;0,07888631090487239;0,20069605568445475;0,01160092807424594;0,0;0,009280742459396751;0,0;0,0951276102088167;0,00580046403712297;0,027842227378190254;0,00580046403712297;0,001160092807424594;0,00580046403712297;0,002320185614849188;0,5266821345707656;0,07888631090487239;0,2679814385150812;0,012761020881670533;0,02320185614849188;0,0;0,0;0,0;0,0034802784222737818;0,0;0,002320185614849188;0,0
1;0,37373737373737376;0,06220095693779904;0,037745879851143006;0,14354066985645933;0,0685805422647528;0,0;0,003721424774056353;0,0;0,5986177565124934;0,2535885167464115;0,41573631047315257;0,05475810738968634;0,07177033492822966;0,17012227538543329;0,04731525784157363;0,08825093035619351;0,011695906432748537;0,05954279638490165;0,0;0,026049973418394472;0,0;0,01701222753854333;0,05263157894736842;0,002658160552897395;0,001594896331738437;0,063264221158958;0,01063264221158958;0,04784688995215311;0,2046783625730994;0,028176501860712386;0,0786815523657629;0,13503455608718767;0,014354066985645933;0,024986709197235512;0,021796916533758637;0,017543859649122806;0,029771398192450824;0,0;0,06273258904837853;0,08559276980329612;0,021796916533758637;0,003721424774056353;0,018607123870281767;0,049441786283891544;0,005847953216374269;0,012227538543328018;0,001594896331738437;0,023923444976076555;0,005847953216374269;0,01541733120680489;0,001594896331738437;0,003721424774056353;0,001594896331738437;0,0;0,1238702817650186;0,3147262094630516;0,07389686337054759;0,03242955874534822;0,04040404040404041;0,0;0,07123870281765018;0,031366294524189264;0,011164274322169059;0,11057947900053164;0,04253056884635832;0,0;0,020202020202020204;0,05741626794258373;0,025518341307814992;0,06007442849548113;0,025518341307814992;0,03721424774056353;0,022860180754917598;0,004253056884635832;0,000531632110579479;0,001063264221158958;0,06273258904837853;0,16161616161616163;0,014354066985645933;0,0;0,02764486975013291;0,0;0,08399787347155768;0,010101010101010102;0,024455077086656035;0,009037745879851143;0,0;0,0;0,002126528442317916;0,7660818713450293;0,33599149388623073;0,15629984051036683;0,006911217437533227;0,012759170653907496;0,0;0,001063264221158958;0,000531632110579479;0,000531632110579479;0,004253056884635832;0,0;0,0
10;0,42771084337349397;0,0855421686746988;0,05903614457831325;0,1602409638554217;0,06746987951807229;0,0;0,0036144578313253013;0,0;0,6168674698795181;0,1963855421686747;0,46265060240963857;0,06506024096385542;0,05421686746987952;0,1614457831325301;0,04578313253012048;0,07590361445783132;0,010843373493975903;0,04096385542168675;0,0;0,027710843373493974;0,0;0,021686746987951807;0,06867469879518072;0,0012048192771084338;0,0;0,07951807228915662;0,012048192771084338;0,051807228915662654;0,16626506024096385;0,01927710843373494;0,08433734939759036;0,11204819277108434;0,0;0,05903614457831325;0,024096385542168676;0,03493975903614458;0,0891566265060241;0,0;0,05301204819277108;0,0819277108433735;0,006024096385542169;0,008433734939759036;0,024096385542168676;0,03132530120481928;0,0012048192771084338;0,012048192771084338;0,0012048192771084338;0,033734939759036145;0,0012048192771084338;0,0024096385542168677;0,0024096385542168677;0,00963855421686747;0,0012048192771084338;0,0;0,13734939759036144;0,3036144578313253;0,09156626506024096;0,04096385542168675;0,02289156626506024;0,0;0,056626506024096385;0,02289156626506024;0,0024096385542168677;0,09397590361445783;0,04096385542168675;0,0;0,016867469879518072;0,05060240963855422;0,03614457831325301;0,0783132530120482;0,018072289156626505;0,060240963855421686;0,02891566265060241;0,0036144578313253013;0,0012048192771084338;0,0024096385542168677;0,0819277108433735;0,12771084337349398;0,006024096385542169;0,0;0,020481927710843374;0,0012048192771084338;0,0963855421686747;0,01566265060240964;0,03493975903614458;0,004819277108433735;0,0;0,0012048192771084338;0,0;0,43012048192771085;0,1566265060240964;0,28072289156626506;0,007228915662650603;0,021686746987951807;0,0;0,0036144578313253013;0,0;0,0024096385542168677;0,0024096385542168677;0,0;0,0
100;0,4065040650406504;0,07317073170731707;0,0508130081300813;0,18902439024390244;0,06300813008130081;0,0;0,01016260162601626;0,0;0,6239837398373984;0,17276422764227642;0,4613821138211382;0,06097560975609756;0,10975609756097561;0,16056910569105692;0,06097560975609756;0,11585365853658537;0,0020325203252032522;0,056910569105691054;0,0;0,018292682926829267;0,0;0,018292682926829267;0,08130081300813008;0,0;0,0;0,08333333333333333;0,012195121951219513;0,032520325203252036;0,23983739837398374;0,03048780487804878;0,14634146341463414;0,09349593495934959;0,0040650406504065045;0,046747967479674794;0,022357723577235773;0,028455284552845527;0,06910569105691057;0,0;0,044715447154471545;0,04065040650406504;0,032520325203252036;0,012195121951219513;0,018292682926829267;0,028455284552845527;0,0040650406504065045;0,012195121951219513;0,0020325203252032522;0,014227642276422764;0,0020325203252032522;0,0040650406504065045;0,0;0,0;0,006097560975609756;0,0;0,09349593495934959;0,34552845528455284;0,09959349593495935;0,034552845528455285;0,03048780487804878;0,0;0,03861788617886179;0,01016260162601626;0,022357723577235773;0,09349593495934959;0,028455284552845527;0,0;0,016260162601626018;0,03861788617886179;0,022357723577235773;0,054878048780487805;0,016260162601626018;0,042682926829268296;0,014227642276422764;0,0020325203252032522;0,0;0,0;0,12601626016260162;0,13617886178861788;0,02032520325203252;0,0;0,014227642276422764;0,0;0,07520325203252033;0,006097560975609756;0,012195121951219513;0,008130081300813009;0,0;0,0;0,0;0,7642276422764228;0,08130081300813008;0,4959349593495935;0,006097560975609756;0,044715447154471545;0,0;0,0020325203252032522;0,0020325203252032522;0,0;0,0;0,0;0,0
1000;0,5443425076452599;0,045871559633027525;0,027522935779816515;0,1529051987767584;0,045871559633027525;0,0;0,0;0,0;0,6299694189602446;0,2018348623853211;0,5290519877675841;0,10091743119266056;0,07033639143730887;0,2324159021406728;0,0764525993883792;0,10397553516819572;0,0;0,04892966360856269;0,0;0,039755351681957186;0,0;0,03058103975535168;0,0581039755351682;0,0;0,0;0,0764525993883792;0,012232415902140673;0,03363914373088685;0,2691131498470948;0,04281345565749235;0,13149847094801223;0,12844036697247707;0,021406727828746176;0,0061162079510703364;0,012232415902140673;0,01529051987767584;0,05504587155963303;0,0;0,06116207951070336;0,07339449541284404;0,0061162079510703364;0,0030581039755351682;0,021406727828746176;0,021406727828746176;0,012232415902140673;0,01834862385321101;0,0;0,0030581039755351682;0,0;0,0030581039755351682;0,0;0,0;0,0030581039755351682;0,0;0,12232415902140673;0,3486238532110092;0,08868501529051988;0,04281345565749235;0,027522935779816515;0,0;0,03669724770642202;0,01529051987767584;0,0;0,12232415902140673;0,027522935779816515;0,0;0,039755351681957186;0,0581039755351682;0,03058103975535168;0,0581039755351682;0,009174311926605505;0,045871559633027525;0,039755351681957186;0,0;0,0030581039755351682;0,0;0,1162079510703364;0,1651376146788991;0,012232415902140673;0,0;0,021406727828746176;0,0;0,09174311926605505;0,009174311926605505;0,03363914373088685;0,0061162079510703364;0,0;0,0;0,0030581039755351682;0,4617737003058104;0,1712538226299694;0,20795107033639143;0,01529051987767584;0,024464831804281346;0,0;0,0;0,0;0,0030581039755351682;0,0;0,0;0,0
1001;0,45532831001076424;0,03336921420882669;0,02583423035522067;0,13347685683530677;0,05166846071044134;0,0;0,004305705059203444;0,0;0,6361679224973089;0,20452099031216361;0,46178686759956944;0,07965554359526372;0,12055974165769645;0,193756727664155;0,07427341227125941;0,13885898815931108;0,0;0,05597416576964478;0,0;0,02798708288482239;0,0;0,031216361679224973;0,04090419806243272;0,0;0,0;0,062432723358449946;0,00968783638320775;0,02906350914962325;0,2917115177610334;0,04628632938643703;0,11840688912809473;0,1496232508073197;0,005382131324004306;0,022604951560818085;0,016146393972012917;0,011840688912809472;0,0688912809472551;0,0;0,04198062432723358;0,07857911733046287;0,0527448869752422;0,008611410118406888;0,023681377825618945;0,02045209903121636;0,005382131324004306;0,010764262648008612;0,002152852529601722;0,016146393972012917;0,008611410118406888;0,012917115177610334;0,0;0,006458557588805167;0,0032292787944025836;0,0;0,11948331539289558;0,35414424111948334;0,0721205597416577;0,04520990312163617;0,04628632938643703;0,0;0,04413347685683531;0,013993541442411194;0,02798708288482239;0,10010764262648009;0,017222820236813777;0,0;0,03444564047362755;0,06566200215285253;0,024757804090419805;0,04951560818083961;0,04736275565123789;0,031216361679224973;0,00968783638320775;0,006458557588805167;0,0;0,0;0,08934337997847147;0,19268030139935413;0,022604951560818085;0,0;0,023681377825618945;0,001076426264800861;0,08719052744886975;0,008611410118406888;0,031216361679224973;0,0032292787944025836;0,001076426264800861;0,0;0,0;0,37244348762109797;0,10226049515608181;0,43918191603875134;0,006458557588805167;0,006458557588805167;0,0;0,0032292787944025836;0,001076426264800861;0,0;0,0;0,0;0,0
1002;0,5720524017467249;0,10480349344978165;0,0611353711790393;0,17467248908296942;0,06986899563318777;0,0;0,008733624454148471;0,0;0,5807860262008734;0,18777292576419213;0,5109170305676856;0,09606986899563319;0,056768558951965066;0,2183406113537118;0,06986899563318777;0,08733624454148471;0,008733624454148471;0,07423580786026202;0,0;0,021834061135371178;0,0;0,004366812227074236;0,05240174672489083;0,0;0,004366812227074236;0,034934497816593885;0,026200873362445413;0,05240174672489083;0,22707423580786026;0,056768558951965066;0,11790393013100436;0,10043668122270742;0,017467248908296942;0,048034934497816595;0,017467248908296942;0,048034934497816595;0,1222707423580786;0,0;0,043668122270742356;0,06986899563318777;0,008733624454148471;0,008733624454148471;0,013100436681222707;0,008733624454148471;0,0;0,026200873362445413;0,0;0,0;0,0;0,004366812227074236;0,0;0,004366812227074236;0,0;0,0;0,09606986899563319;0,38427947598253276;0,0611353711790393;0,026200873362445413;0,03056768558951965;0,0;0,03056768558951965;0,008733624454148471;0,004366812227074236;0,11790393013100436;0,008733624454148471;0,0;0,021834061135371178;0,056768558951965066;0,021834061135371178;0,034934497816593885;0,039301310043668124;0,021834061135371178;0,017467248908296942;0,0;0,0;0,0;0,11353711790393013;0,15283842794759825;0,004366812227074236;0,0;0,017467248908296942;0,0;0,06550218340611354;0,013100436681222707;0,03056768558951965;0,008733624454148471;0,0;0,0;0,0;0,5589519650655022;0,0;0,4759825327510917;0,021834061135371178;0,034934497816593885;0,0;0,0;0,0;0,0;0,0;0,0;0,0
1003;0,42350332594235035;0,10532150776053215;0,06430155210643015;0,18181818181818182;0,07317073170731707;0,0;0,0033259423503325942;0,0;0,6241685144124168;0,18957871396895787;0,4434589800443459;0,058758314855875834;0,06208425720620843;0,15521064301552107;0,04434589800443459;0,07760532150776053;0,0022172949002217295;0,05432372505543237;0,0;0,03436807095343681;0,0011086474501108647;0,024390243902439025;0,052106430155210645;0,0;0,0;0,06097560975609756;0,015521064301552107;0,05543237250554324;0,17405764966740578;0,019955654101995565;0,06319290465631928;0,13414634146341464;0,004434589800443459;0,06541019955654102;0,018847006651884702;0,050997782705099776;0,06651884700665188;0,0;0,052106430155210645;0,07760532150776053;0,009977827050997782;0,011086474501108648;0,017738359201773836;0,037694013303769404;0,0022172949002217295;0,014412416851441241;0,0022172949002217295;0,019955654101995565;0,007760532150776054;0,009977827050997782;0,0;0,007760532150776054;0,0033259423503325942;0,0;0,12527716186252771;0,3348115299334812;0,07649667405764966;0,04434589800443459;0,03215077605321508;0,0;0,045454545454545456;0,007760532150776054;0,009977827050997782;0,10421286031042129;0,03325942350332594;0,0;0,01662971175166297;0,04767184035476718;0,03436807095343681;0,07538802660753881;0,03436807095343681;0,04878048780487805;0,0033259423503325942;0,007760532150776054;0,0011086474501108647;0,004434589800443459;0,06208425720620843;0,14634146341463414;0,008869179600886918;0,0;0,017738359201773836;0,0011086474501108647;0,09534368070953436;0,011086474501108648;0,02106430155210643;0,005543237250554324;0,0011086474501108647;0,0033259423503325942;0,0022172949002217295;0,8104212860310421;0,1385809312638581;0,3614190687361419;0,0033259423503325942;0,03547671840354767;0,0011086474501108647;0,0022172949002217295;0,0011086474501108647;0,0;0,0;0,004434589800443459;0,0
1004;0,5242105263157895;0,014736842105263158;0,00631578947368421;0,13894736842105262;0,04421052631578947;0,0;0,0;0,002105263157894737;0,6547368421052632;0,2063157894736842;0,5410526315789473;0,09473684210526316;0,10736842105263159;0,16631578947368422;0,07578947368421053;0,08842105263157894;0,0;0,06315789473684211;0,0;0,023157894736842106;0,0;0,021052631578947368;0,10947368421052632;0,0;0,0;0,10105263157894737;0,029473684210526315;0,02736842105263158;0,2463157894736842;0,02736842105263158;0,13473684210526315;0,11157894736842106;0,0;0,00631578947368421;0,002105263157894737;0,004210526315789474;0,02526315789473684;0,0;0,05052631578947368;0,09052631578947369;0,04;0,014736842105263158;0,031578947368421054;0,00631578947368421;0,002105263157894737;0,01263157894736842;0,002105263157894737;0,01263157894736842;0,002105263157894737;0,002105263157894737;0,0;0,00631578947368421;0,01263157894736842;0,0;0,13473684210526315;0,28842105263157897;0,13052631578947368;0,04842105263157895;0,02526315789473684;0,0;0,031578947368421054;0,014736842105263158;0,02736842105263158;0,13473684210526315;0,02526315789473684;0,0;0,04;0,06947368421052631;0,029473684210526315;0,05263157894736842;0,02736842105263158;0,014736842105263158;0,014736842105263158;0,02526315789473684;0,00631578947368421;0,010526315789473684;0,09473684210526316;0,13894736842105262;0,03368421052631579;0,0;0,037894736842105266;0,0;0,08;0,008421052631578947;0,04;0,004210526315789474;0,0;0,0;0,0;0,18105263157894738;0,07789473684210527;0,15789473684210525;0,008421052631578947;0,01263157894736842;0,0;0,002105263157894737;0,002105263157894737;0,004210526315789474;0,004210526315789474;0,0;0,0
1005;0,5559440559440559;0,06643356643356643;0,06643356643356643;0,16783216783216784;0,06993006993006994;0,0;0,0;0,0;0,6328671328671329;0,1993006993006993;0,534965034965035;0,0944055944055944;0,08391608391608392;0,25524475524475526;0,024475524475524476;0,15734265734265734;0,013986013986013986;0,08741258741258741;0,0;0,038461538461538464;0,0;0,01048951048951049;0,07342657342657342;0,0;0,0;0,07342657342657342;0,01048951048951049;0,04895104895104895;0,2902097902097902;0,027972027972027972;0,16783216783216784;0,14335664335664336;0,0;0,06643356643356643;0,03146853146853147;0,03496503496503497;0,1048951048951049;0,0;0,04195804195804196;0,06293706293706294;0,03496503496503497;0,017482517482517484;0,01048951048951049;0,02097902097902098;0,0;0,013986013986013986;0,0;0,006993006993006993;0,006993006993006993;0,017482517482517484;0,0;0,0;0,0;0,0;0,08741258741258741;0,40559440559440557;0,08391608391608392;0,027972027972027972;0,03146853146853147;0,0;0,027972027972027972;0,0;0,024475524475524476;0,13986013986013987;0,0034965034965034965;0,0;0,01048951048951049;0,038461538461538464;0,03496503496503497;0,04195804195804196;0,024475524475524476;0,024475524475524476;0,013986013986013986;0,01048951048951049;0,0;0,0;0,16783216783216784;0,18181818181818182;0,006993006993006993;0,0;0,0034965034965034965;0,0;0,07692307692307693;0,0;0,017482517482517484;0,0;0,0;0,0034965034965034965;0,0034965034965034965;0,36013986013986016;0,0;0,4755244755244755;0,006993006993006993;0,027972027972027972;0,0;0,0;0,01048951048951049;0,0;0,0;0,0;0,0
